timemask.dat
---------------------------
VTimeMask settings per run.
Format is: 

< run_number >	< mask_start_seconds >	< mask_width_seconds >	< mask_mode_boolean >

The mask mode is 1 for open 0 for closed.
The default mask is open for the entire run.

- Successive masks for a given run modify those already given.
  e.g. to cut out two bands of two minutes each, separated by a window of two minutes you could use:
999	600	360	0
999	720	120	1

  or equally
999	600	120	0
999	840	120	0

- If you want to be certain to kill the end of a run (run durations can be several seconds over 1200)
  you can safely overlap.
  e.g. cut the last two minutes and overrun by 10 seconds
999	1080	130	0

- Put an asterisk (*) as the first charcter on a line to use it.
========================================================================================




  71807 0 120 0
* 47571 0 90 0
* 47571 1140 90 0
* 47572 0 240 0
* 49847 480 900 0
* 49849 360 900  0
* 49873 1080 130 0
* 49875 300 120 0
* 50031 0 300 0
* 50210 720 900 0
* 50485 0 600 0
* 50486 1020 900 0
* 54057 540 720 0
* 54289 0 120 0
* 54290 0 60 0
* 54292 0 90 0
* 54559 0 120 0
* 54647 90 270 0
* 54652 0 120 0
* 54652 480 360.0 0
* 55125 300 1500 0
* 55145 600 180 0
* 55192 360 120 0
* 55192 630 60  0
* 55276 0   240 0
* 55276 660 240 0
* 55393 900 180 0
* 55421 0   480 0
* 55425 720 900 0
* 55443 840 602.0 0
* 55497 720 900 0
* 55499 540 500 0
* 55693 840 900 0
* 55741 540 900 0
* 55825 0 300 0
* 55826 840 362.0 0
* 55827 750 450.0 0
* 55996 330 60.0 0
* 59103 840 400 0
* 59262 0 390 0
* 59264 0 300 0
* 59267 660 900 0
* 59289 840 900 0
* 59294 540 900 0
* 59386 1140 240 0
* 59495 660 120 0
* 59853 360 1200 0
* 59923 300 1200 0
* 60016 960 1200 0
* 64143 0 120.0 0
* 64146 750 120 0
* 64477 1050 15.0 0
* 65072 0 20 0
* 65073 0 180.0 0
* 65643 210 210 0
* 65682 240 180.0 0
* 65746 1320 2400 0
* 65746 1320 2400 0
* 65746 1380 60.0 0
* 65746 1620 180.0 0
* 65766 0 120 0
* 65766 1680 100 0
* 65843 450 120.0 0
* 65955 144 20 0
* 67372 1610 20 0
* 71465 1170 2400 0
* 71465 1170 2400 0
* 71495 540 180 0
* 71495 540 180 0
* 71500 180 180 0
* 71500 180 180 0
* 71767 0 1200 0
* 71767 0 1200 0
* 71806 270 30 0
* 71806 870 30 0
* 71807 0 120 0
* 71807 0 180.0 0
* 71809 180 30 0
* 71809 540 30 0
* 71894 900 900 0
* 71894 900 900 0
* 72158 300 1200.0 0
* 72159 960 360 0
* 72159 960 360 0
* 72273 1020 781.0 0
* 72298 900 1800 0
* 72298 900 1800 0
* 72299 1200 1800 0
* 72299 1200 1800 0
* 72526 1580 90 0
* 72532 0 150 0
* 72533 210 60 0
* 72535 1290 180 0
* 72565 0 300 0
* 72582 0 180 0
* 72630 0 120 0
* 74900 0 240 0
* 74901 1230 260 0
* 74901 1260 480.0 0
* 74901 2580 60 0
* 74921 0 360 0
* 74939 1080 750 0
* 74939 1110 692.0 0
* 74940 0 900 0
* 74942 1440 390 0
* 74942 1500 300.0 0
* 75018 0 300 0
* 75018 0 480.0 0
* 75019 0 300 0
* 75019 390 60 0
* 75021 1280 180 0 
* 75021 1320 107.0 0
* 75223 0 180 0
* 75223 270 60 0
* 75224 480 180 0
* 75246 330 60 0
* 75272 1320 210 0
* 75272 900 90 0
* 75273 780 120 0
* 75320 0 300 0
* 75320 1740 90 0
* 75320 990 120
* 75321 0 480 0
* 75889 0 240.0 0
* 75894 0 60.0 0
* 75894 180 60.0 0
* 75910 1200 360 0
* 79727 1110 120.0 0
* 84040  840  60 0
* 84088 1260 360 0
* 84089    0 210 0
* 84332  540  60 0
* 84447    0 600 0
* 84853 1680 130 0
* 84854 1020 800 0
* 84923  270  60 0
