* 44594 900 200 0
* 44626 0 60 0
* 44678 900 300 0
* 46328 0 60 0
* 46328 720 200 0
* 46329 840 400 0
* 46330 0 360 0
* 46427 0 600 0
* 47442	0	300	0
* 47445	0	300	0
* 47445	1080	120	0
* 47448	1140	60	0
* 47449	540	60	0
* 47449	900	300	0
* 47481	0	180	0
* 47482	840	60	0
* 47484	0	120	0
* 47484	960	120	0
* 47485	120	120	0
* 47571 0 90 0
* 47571 1140 90 0
* 47572 0 240 0
* 48191	0	60	0
* 48193	900	60	0
* 48302	0	30	0
* 48302	240	90	0
* 48305	480	120	0
* 48306	30	30	0
* 48307	120	30	0
* 48848	930	30	0
* 48849	600	60	0
* 49847 480 900 0
* 49849 360 900  0
* 49873 1080 130 0
* 49875 300 120 0
* 50031 0 300 0
* 50210 720 900 0
* 50469 0 60.0 0
* 50485 0 600 0
* 50486 1020 900 0
* 52409	1170	30	0
* 52410	0	30	0
* 52412	930	180	0
* 52413	0	60	0
* 52413	450	90	0
* 52526	660	30	0
* 52530	30	30	0
* 52532	660	30	0
* 52554	0	30	0
* 52585	0	300	0
* 54057 540 720 0
* 54289 0 120 0
* 54290 0 60 0
* 54292 0 90 0
* 54559 0 120 0
* 54647 90 270 0
* 54652 0 120 0
* 54652 480 360.0 0
* 55125 300 1500 0
* 55145 600 180 0
* 55192 360 120 0
* 55192 630 60  0
* 55276 0   240 0
* 55276 660 240 0
* 55393 900 180 0
* 55421 0   480 0
* 55425 720 900 0
* 55443 840 602.0 0
* 55462 0 600 0
* 55497 720 900 0
* 55499 540 500 0
* 55693 840 900 0
* 55731 1080 120.0 0
* 55741 540 900 0
* 55758 720 80 0
* 55825 0 300 0
* 55826 840 362.0 0
* 55827 750 450.0 0
* 55996 330 60.0 0
* 56787 372 36.0 0
* 56843 0 900 0
* 58356 1140 600 0 
* 58863 1140 600 0 
* 59103 840 400 0
* 59220	120	60	0
* 59220	360	60	0
* 59252	840	60	0
* 59262 0 390 0
* 59264 0 300 0
* 59267 660 900 0
* 59289 840 900 0
* 59294 540 900 0
* 59312	1080	120	0
* 59386 1140 240 0
* 59405	1140	60	0
* 59495 660 120 0
* 59510	0	60	0
* 59510	840	60	0
* 59853 360 1200 0
* 59880	0	240	0
* 59880	900	300	0
* 59923 300 1200 0
* 60016 960 1200 0
* 61541 760 19.0 0
* 61839 0 240.0 0
* 61841 180 72.0 0
* 61841 900 300.0 0
* 61842 60 12.0 0
* 61869 840 360.0 0
* 61924 0 60.0 0
* 62120 540 60.0 0
* 62685 0 90.0 0
* 62781 0 30.0 0
* 63135 45 15.0 0
* 64143 0 120.0 0
* 64146 750 120 0
* 64443 1020 600 0
* 64444 1020 180 0
* 64477 1050 15.0 0
* 64711 0 1320.00 0
* 65072 0 20 0
* 65073 0 180.0 0
* 65643 210 210 0
* 65682 240 180.0 0
* 65746 1320 2400 0
* 65746 1380 60.0 0
* 65746 1620 180.0 0
* 65766 0 120 0
* 65766 1680 100 0
* 65843 450 120.0 0
* 65895 570 30.0 0
* 65955 144 20 0
* 66533 0 120 0
* 66533 1680 600 0
* 66744 0 60.0 0
* 66883 1820 60 0
* 66911 0 300 0
* 66911 1440 1800 0
* 66912 0 720 0
* 66944 900 900 0
* 67074 1230 120 0
* 67122 0 60 0
* 67123 1140 240 0
* 67123 1440 300 0
* 67124 960 360 0
* 67125 0 60 0
* 67125 1020 1800 0
* 67126 780 1800 0
* 67136 420 180 0
* 67290 900 600 0
* 67309 1800 600 0
* 67333 600 1800 0
* 67372 1610 20 0
* 67378 420 120 0
* 67390 1500 1080 0
* 67477 1200 6000 0
* 67604 880 120 0
* 67790 0 900 0
* 67792 1500 300 0
* 67793 0 300 0
* 67793 1600 200 0
* 67835 900 200 0
* 68010 1500 300 0
* 68011 0 480 0
* 68431 0 300 0
* 68431 600 420 0
* 68640 900 900 0
* 68934 0 60 0
* 68950 1680 200 0
* 69187 1320 1620 0
* 69862 1680 120 0
* 70123 0 240.00 0
* 70146 0 420.00 0
* 70354 300 720 0 
* 70355 1200 600 0
* 70381 0 240 0
* 70428 700 180 0
* 70455 950 300 0
* 70527 0 300 0
* 70534 1140 60 0
* 70800	120	120	0
* 70823	0	120	0
* 70942 1260 120.00 0
* 70942 1500 180.00 0
* 70942 780 180.00 0
* 70996 0 120 0
* 71027 0 720.00 0
* 71465 1170 2400 0
* 71495 540 180 0
* 71500 180 180 0
* 71767 0 1200 0
* 71799 0 300.00 0
* 71806 270 30 0
* 71806 870 30 0
* 71807 0 120 0
* 71807 0 180.0 0
* 71809 180 30 0
* 71809 540 30 0
* 71845 120 60.00 0
* 71845 780 122.00 0
* 71894 900 900 0
* 71933 820 50.00 0
* 71933 990 810.00 0
